RNALocate_ID	Species	RNA_Symbol	RNA_Type	Subcellular_Localization	GO_Accession	PubMed_ID	RNALocate_Score
RL-E-m-0000012	Mus musculus	Tjp1	mRNA	Apical part of cell	GO:0045177	26411364.0	0.694505649698505
RL-E-m-0000054	Mus musculus	Vil1	mRNA	Apical cytoplasm	GO:0090651	8026647.0	0.694505649698505
RL-E-m-0000065	Mus musculus	Cdc42	mRNA	Axon	GO:0030424	33674450.0	0.795006069178413
RL-E-m-0000066	Mus musculus	Dvl1	mRNA	Axon	GO:0030424	34643063.0	0.694505649698505
RL-E-m-0000067	Mus musculus	Cox6a1	mRNA	Axon	GO:0030424	30540963.0	0.694505649698505
RL-E-m-0000068	Mus musculus	Ybx1	mRNA	Axon	GO:0030424	30540963.0	0.694505649698505
RL-E-m-0000069	Mus musculus	Wnt5a	mRNA	Axon	GO:0030424	34643063.0	0.694505649698505
RL-E-m-0000070	Mus musculus	prenyl-Cdc42	mRNA	Axon	GO:0030424	33674450.0	0.795006069178413
RL-E-m-0000072	Mus musculus	Mtif3	mRNA	Axon	GO:0030424	34996455.0	0.694505649698505
RL-E-m-0000076	Mus musculus	Map1b	mRNA	Axon	GO:0030424	28082376.0	0.836757224078988
RL-E-m-0000082	Mus musculus	Arc	mRNA	Axon	GO:0030424	18184812.0	0.694505649698505
RL-E-m-0000083	Mus musculus	Camk2a	mRNA	Axon	GO:0030424	18184812.0	0.936216130089154
RL-E-m-0000086	Mus musculus	Atf4	mRNA	Axon	GO:0030424	26131922.0	0.694505649698505
RL-E-m-0000090	Mus musculus	Ncam1	mRNA	Axon	GO:0030424	28082376.0	0.836757224078988
RL-E-m-0000091	Mus musculus	Th	mRNA	Axon	GO:0030424	27095027.0	0.694505649698505
RL-E-m-0000092	Mus musculus	Mapt	mRNA	Axon	GO:0030424	18184812.0	0.936216130089154
RL-E-m-0000096	Mus musculus	Actb	mRNA	Axon	GO:0030424	26518186.0	0.904945420481312
RL-E-m-0000106	Mus musculus	Camk2a	mRNA	Axon	GO:0030424	26512708.0	0.936216130089154
RL-E-m-0000110	Mus musculus	Calca	mRNA	Axon	GO:0030424	9724458.0	0.694505649698505
RL-E-m-0000111	Mus musculus	Ctnnb1	mRNA	Axon	GO:0030424	28082376.0	0.694505649698505
RL-E-m-0000117	Mus musculus	Pcp2	mRNA	Axon	GO:0030424	9387927.0	0.694505649698505
